# Wavelength (um) 	 Transit depth
0.2243409983 	 0.0144001991
0.2243913385 	 0.0144001289
0.2244417013 	 0.0144000356
0.2244920867 	 0.0143999486
0.2245424947 	 0.0143998327
0.2245929253 	 0.0143997462
0.2246433786 	 0.0143996275
0.2246938546 	 0.0143995566
0.2247443533 	 0.0143994811
0.2247948747 	 0.0143993812
0.2248454188 	 0.0143992848
0.2248959856 	 0.0143991815
0.2249465752 	 0.0143991079
0.2249971875 	 0.0143989778
0.2250478227 	 0.0143989074
0.2250984806 	 0.0143987996
0.2251491613 	 0.0143987338
0.2251998649 	 0.0143986274
0.2252505913 	 0.0143985115
0.2253013405 	 0.0143984215
0.2253521127 	 0.0143983409
0.2254029077 	 0.0143982315
0.2254537256 	 0.0143981316
0.2255045665 	 0.0143980647
0.2255554302 	 0.0143979500
0.2256063170 	 0.0143978606
0.2256572267 	 0.0143977762
0.2257081593 	 0.0143976768
0.2257591150 	 0.0143975936
0.2258100937 	 0.0143975012
0.2258610954 	 0.0143974033
0.2259121202 	 0.0143972920
0.2259631680 	 0.0143972039
0.2260142389 	 0.0143971137
0.2260653329 	 0.0143970317
0.2261164500 	 0.0143969182
0.2261675902 	 0.0143968339
0.2262187535 	 0.0143967151
0.2262699400 	 0.0143966503
0.2263211497 	 0.0143965596
0.2263723826 	 0.0143964496
0.2264236386 	 0.0143963519
0.2264749179 	 0.0143962683
0.2265262204 	 0.0143961575
0.2265775462 	 0.0143960746
0.2266288952 	 0.0143959755
0.2266802675 	 0.0143958751
0.2267316631 	 0.0143958033
0.2267830820 	 0.0143956866
0.2268345242 	 0.0143955817
0.2268859898 	 0.0143955021
0.2269374787 	 0.0143954238
0.2269889910 	 0.0143953064
0.2270405267 	 0.0143952227
0.2270920858 	 0.0143951381
0.2271436684 	 0.0143950407
0.2271952743 	 0.0143949436
0.2272469038 	 0.0143948672
0.2272985567 	 0.0143947307
0.2273502330 	 0.0143946487
0.2274019329 	 0.0143945654
0.2274536563 	 0.0143944866
0.2275054032 	 0.0143943852
0.2275571737 	 0.0143942690
0.2276089678 	 0.0143941809
0.2276607854 	 0.0143940903
0.2277126267 	 0.0143939832
0.2277644915 	 0.0143939143
0.2278163800 	 0.0143938023
0.2278682921 	 0.0143936987
0.2279202279 	 0.0143936291
0.2279721874 	 0.0143935067
0.2280241706 	 0.0143934442
0.2280761774 	 0.0143933207
0.2281282081 	 0.0143932273
0.2281802624 	 0.0143931430
0.2282323405 	 0.0143930456
0.2282844424 	 0.0143929476
0.2283365681 	 0.0143928646
0.2283887176 	 0.0143927671
0.2284408909 	 0.0143926476
0.2284930881 	 0.0143925670
0.2285453091 	 0.0143924954
0.2285975540 	 0.0143923636
0.2286498228 	 0.0143923045
0.2287021155 	 0.0143921744
0.2287544321 	 0.0143921164
0.2288067727 	 0.0143919970
0.2288591372 	 0.0143919061
0.2289115257 	 0.0143918235
0.2289639382 	 0.0143917232
0.2290163747 	 0.0143916369
0.2290688352 	 0.0143915339
0.2291213197 	 0.0143914288
0.2291738283 	 0.0143913405
0.2292263610 	 0.0143912589
0.2292789178 	 0.0143911423
0.2293314987 	 0.0143910579
0.2293841037 	 0.0143909673
0.2294367328 	 0.0143908811
0.2294893861 	 0.0143907661
0.2295420636 	 0.0143906620
0.2295947652 	 0.0143905810
0.2296474911 	 0.0143904842
0.2297002412 	 0.0143903948
0.2297530155 	 0.0143902914
0.2298058141 	 0.0143902014
0.2298586369 	 0.0143901079
0.2299114841 	 0.0143900009
0.2299643555 	 0.0143899051
0.2300172513 	 0.0143898242
0.2300701714 	 0.0143897338
0.2301231159 	 0.0143896347
0.2301760847 	 0.0143895252
0.2302290779 	 0.0143894409
0.2302820956 	 0.0143893552
0.2303351376 	 0.0143892564
0.2303882041 	 0.0143891432
0.2304412951 	 0.0143890449
0.2304944105 	 0.0143889576
0.2305475504 	 0.0143888769
0.2306007149 	 0.0143887647
0.2306539038 	 0.0143886826
0.2307071173 	 0.0143885806
0.2307603554 	 0.0143884776
0.2308136180 	 0.0143883776
0.2308669052 	 0.0143882814
0.2309202171 	 0.0143881998
0.2309735535 	 0.0143880975
0.2310269146 	 0.0143880043
0.2310803004 	 0.0143879328
0.2311337109 	 0.0143878339
0.2311871460 	 0.0143877128
0.2312406059 	 0.0143876294
0.2312940904 	 0.0143875415
0.2313475998 	 0.0143874416
0.2314011339 	 0.0143873304
0.2314546927 	 0.0143872565
0.2315082764 	 0.0143871482
0.2315618849 	 0.0143870519
0.2316155182 	 0.0143869718
0.2316691764 	 0.0143868803
0.2317228595 	 0.0143867679
0.2317765674 	 0.0143866867
0.2318303002 	 0.0143865679
0.2318840580 	 0.0143864974
0.2319378407 	 0.0143863861
0.2319916483 	 0.0143862992
0.2320454809 	 0.0143862135
0.2320993385 	 0.0143860944
0.2321532211 	 0.0143860083
0.2322071288 	 0.0143859134
0.2322610614 	 0.0143858148
0.2323150192 	 0.0143857091
0.2323690020 	 0.0143856441
0.2324230099 	 0.0143855200
0.2324770429 	 0.0143854466
0.2325311010 	 0.0143853453
0.2325851843 	 0.0143852523
0.2326392928 	 0.0143851627
0.2326934264 	 0.0143850543
0.2327475852 	 0.0143849620
0.2328017693 	 0.0143848711
0.2328559786 	 0.0143847593
0.2329102131 	 0.0143846642
0.2329644729 	 0.0143845795
0.2330187580 	 0.0143844867
0.2330730684 	 0.0143843795
0.2331274041 	 0.0143842861
0.2331817652 	 0.0143842119
0.2332361516 	 0.0143840925
0.2332905634 	 0.0143840074
0.2333450006 	 0.0143839172
0.2333994632 	 0.0143838062
0.2334539512 	 0.0143837175
0.2335084647 	 0.0143836311
0.2335630036 	 0.0143835124
0.2336175680 	 0.0143834191
0.2336721580 	 0.0143833370
0.2337267734 	 0.0143832404
0.2337814144 	 0.0143831456
0.2338360809 	 0.0143830521
0.2338907730 	 0.0143829353
0.2339454907 	 0.0143828429
0.2340002340 	 0.0143827638
0.2340550029 	 0.0143827437
0.2341097975 	 0.0144067490
0.2341646177 	 0.0143824889
0.2342194636 	 0.0143823818
0.2342743352 	 0.0143822858
0.2343292326 	 0.0143821853
0.2343841556 	 0.0143820970
0.2344391044 	 0.0143819764
0.2344940790 	 0.0143818852
0.2345490794 	 0.0143817933
0.2346041056 	 0.0143817123
0.2346591576 	 0.0143816026
0.2347142354 	 0.0143815132
0.2347693391 	 0.0143814187
0.2348244687 	 0.0143813262
0.2348796242 	 0.0143813656
0.2349348056 	 0.0144124749
0.2349900129 	 0.0143810389
0.2350452462 	 0.0143809390
0.2351005055 	 0.0143808327
0.2351557907 	 0.0143807435
0.2352111020 	 0.0143806348
0.2352664392 	 0.0143805474
0.2353218026 	 0.0143804506
0.2353771920 	 0.0143803673
0.2354326074 	 0.0143802509
0.2354880490 	 0.0143801782
0.2355435167 	 0.0143800745
0.2355990105 	 0.0143799717
0.2356545305 	 0.0143798845
0.2357100766 	 0.0143797695
0.2357656489 	 0.0143796868
0.2358212475 	 0.0143795897
0.2358768723 	 0.0143795054
0.2359325233 	 0.0143795621
0.2359882006 	 0.0144135156
0.2360439042 	 0.0143792243
0.2360996341 	 0.0143791036
0.2361553903 	 0.0143790050
0.2362111728 	 0.0143789199
0.2362669817 	 0.0143788284
0.2363228170 	 0.0143787192
0.2363786786 	 0.0143786334
0.2364345667 	 0.0143785466
